n_lipids,api_to_lipid_ratio,lipid_DPPC_fraction,lipid_DSPC_fraction,lipid_CHEMS_fraction,lipid_DMPC_fraction,lipid_DAPC_fraction,lipid_Chol_fraction,lipid_Soy PC_fraction,lipid_Egg PC_fraction,lipid_DOTAP_fraction,lipid_DOPE_fraction,lipid_DPPG_fraction,api_molecular_weight,api_rotatable_bond_count,api_hbond_acceptor_count,api_hbond_donor_count,api_heavy_atom_count,api_tpsa,api_complexity,api_molecular_weight_missing,api_rotatable_bond_count_missing,api_hbond_acceptor_count_missing,api_hbond_donor_count_missing,api_heavy_atom_count_missing,api_tpsa_missing,api_complexity_missing,lipid_1_fraction,lipid_2_fraction,lipid_3_fraction,lipid_1_molecular_weight,lipid_1_rotatable_bond_count,lipid_1_hbond_acceptor_count,lipid_1_hbond_donor_count,lipid_1_logp,lipid_1_tpsa,lipid_1_formal_charge,lipid_1_number_of_tails,lipid_1_tail_length_mean,lipid_1_tail_length_max,lipid_1_avg_double_bonds_per_tail,lipid_1_is_mixture,lipid_1_has_tails,lipid_1_is_zwitterionic,lipid_1_is_cationic,lipid_1_is_anionic,lipid_1_is_phospholipid,lipid_1_is_sterol,lipid_1_is_cationic_lipid,lipid_2_missing,lipid_2_molecular_weight,lipid_2_rotatable_bond_count,lipid_2_hbond_acceptor_count,lipid_2_hbond_donor_count,lipid_2_logp,lipid_2_tpsa,lipid_2_formal_charge,lipid_2_number_of_tails,lipid_2_tail_length_mean,lipid_2_tail_length_max,lipid_2_avg_double_bonds_per_tail,lipid_2_is_mixture,lipid_2_has_tails,lipid_2_is_zwitterionic,lipid_2_is_cationic,lipid_2_is_anionic,lipid_2_is_phospholipid,lipid_2_is_sterol,lipid_2_is_cationic_lipid,lipid_3_missing,lipid_3_molecular_weight,lipid_3_rotatable_bond_count,lipid_3_hbond_acceptor_count,lipid_3_hbond_donor_count,lipid_3_logp,lipid_3_tpsa,lipid_3_formal_charge,lipid_3_number_of_tails,lipid_3_tail_length_mean,lipid_3_tail_length_max,lipid_3_avg_double_bonds_per_tail,lipid_3_is_mixture,lipid_3_has_tails,lipid_3_is_zwitterionic,lipid_3_is_cationic,lipid_3_is_anionic,lipid_3_is_phospholipid,lipid_3_is_sterol,lipid_3_is_cationic_lipid,lipid_max_logp,lipid_min_logp,lipid_weighted_logp,lipid_weighted_hbond_donors,lipid_1_2_logp_diff,lipid_1_3_logp_diff,lipid_1_2_tail_diff,api_lipid_1_hbond_donor_diff
2,0.547,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,482.4,4.0,10.0,5.0,35.0,155.0,750.0,0,0,0,0,0,0,0,0.5,0.5,0.0,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,13.5,8.7,11.1,0.5,4.800000000000001,,16.0,5.0
3,0.6349,0.55,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.3,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.55,0.3,0.15,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,723.0,40.0,10.0,3.0,12.2,149.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.5,8.7,12.39,1.0499999999999998,1.3000000000000007,4.800000000000001,0.0,
3,0.6349,0.45,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.4,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.45,0.4,0.15,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,723.0,40.0,10.0,3.0,12.2,149.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.5,8.7,12.26,1.35,1.3000000000000007,4.800000000000001,0.0,
1,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.24,1.0,5.0,3.0,20.0,87.0,410.0,0,0,0,0,0,0,0,1.0,0.0,0.0,790.1,44.0,8.0,0.0,15.6,111.0,0.0,2.0,18.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,15.6,15.6,15.6,0.0,,,,3.0
1,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.08,0.0,3.0,2.0,9.0,58.2,199.0,0,0,0,0,0,0,0,1.0,0.0,0.0,790.1,44.0,8.0,0.0,15.6,111.0,0.0,2.0,18.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,15.6,15.6,15.6,0.0,,,,2.0
2,0.0017733333333333331,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.75,0.25,0.0,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,13.5,8.7,12.3,0.25,4.800000000000001,,16.0,
2,0.0017733333333333331,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.5,0.5,0.0,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,13.5,8.7,11.1,0.5,4.800000000000001,,16.0,
2,0.0017733333333333331,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,482.4,6.0,9.0,4.0,35.0,155.0,750.0,1,1,1,1,1,1,1,0.6666666666666666,0.3333333333333333,0.0,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,13.5,8.7,11.899999999999999,0.3333333333333333,4.800000000000001,,16.0,
1,0.6414219474497681,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,482.4,4.0,10.0,5.0,35.0,155.0,750.0,0,0,0,0,0,0,0,1.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,8.7,8.7,8.7,1.0,,,,4.0
1,0.8423493044822257,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,368.4,8.0,6.0,2.0,27.0,93.1,507.0,0,0,0,0,0,0,0,1.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,8.7,8.7,8.7,1.0,,,,1.0
2,27.35,0.8335,0.0,0.0,0.0,0.0,0.1665,0.0,0.0,0.0,0.0,0.0,914.2,6.0,13.0,3.0,65.0,195.0,1760.0,0,0,0,0,0,0,0,0.8335,0.1665,0.0,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,13.5,8.7,12.700800000000001,0.1665,4.800000000000001,,16.0,3.0
3,27.36368184092046,0.5882941470735368,0.0,0.0,0.0,0.0,0.11755877938969485,0.0,0.0,0.0,0.2941470735367684,0.0,914.2,6.0,13.0,3.0,65.0,195.0,1760.0,0,0,0,0,0,0,0,0.5882941470735368,0.2941470735367684,0.11755877938969485,734.0,40.0,8.0,0.0,13.5,111.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,744.0,41.0,9.0,2.0,10.6,134.0,0.0,2.0,18.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.7,5.0,1.0,1.0,8.7,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.5,8.7,12.082691345672835,0.7058529264632316,2.9000000000000004,4.800000000000001,-2.0,3.0
